,r,nmse_test,expression,directory
470,0.9408519208398378,0.0039521984096866,[x1*(-0.14148825031689433 + (-1.3106031769413796e-6*(1 - 0.3042107186078236*x1)**4/(0.093220313185951832*x1 - 0.60798760785692709 + 1/x1)**4 + 2.5497515534399717)/x1)**4],log/.._dso_data_lj_hnc_greater_fourth_2022-04-06-162319
92,0.9450576589447846,0.0033798521974489,[3.8309425187312876e-6/(-0.03704626947707683*x1 + 0.093045198330324515*x1/(0.0125219312676728*x1**4 + 1)**2 + 0.37282952763917759 - 1/x1)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-03-20-174015
616,0.9470976846206072,0.0031200374773443,[-4.234784171096405*x1/((2*x1 - 6.233510851091228)*(0.31356047556468597*x1/lj(x1) - 413.62245355092784/(x1 - 0.29203422619953534)**2) - 6.474649031703887)],log/.._dso_data_lj_hnc_greater_fourth_2022-03-20-125736
418,0.9481308096281846,0.0029928325578669,[3468183946.3593629*((0.39385786113413476*x1 - 1)**4/(-0.041286399064480464*x1**4*(0.026301407195460123*x1**4 - 4.283790793309071) - 7.727834384694931) + 0.0004697582117702155)**4],log/.._dso_data_lj_hnc_greater_fourth_2022-04-06-162319
129,0.949818855850928,0.0027912551951906,[326.36882717159712*(0.057633919056729882 - (-x1*(x1 - 7.886573780916233) - 15.655868714382153)/((x1 + 0.48259892168418556)*(-x1*(x1 - 7.908297230054286) - 15.745880952779459)))**4],log/.._dso_data_lj_hnc_greater_fourth_2022-04-11-150544
175,0.950300316589248,0.0027351773829054,[0.027335798221768445*x1*tan(3.0977182506743346/(x1 + 170.29094842668914*(1 - 0.26082623692093551*x1)**4 - 1.1484014966502816))],log/.._dso_data_lj_hnc_greater_fourth_2022-04-06-162319
803,0.9509102169372248,0.0026650367270949,[0.61329501991402347*sin(2.5219458982408263/((x1 - 0.5690746005294862)*(-0.015661514060299732*x1 + 0.98433848593970027*lj(x1) - 0.51210675146749995)))**8],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011430
761,0.9512960291579248,0.0026211831870503,[(0.2815212131287739 + (0.003425925753877331*tan((-x1 + 18.997194492305972 - 35.27440836026439/x1)/x1) - 4.4481672886861895 + 7.278399868053256/x1**2)/x1)**4],log/.._dso_data_lj_hnc_greater_fourth_2022-04-06-162319
360,0.9523584371520774,0.0025024829788814,[0.06714696184246926*(0.2420995942266193 + 1/(38.78568964257037*(-0.1605699384928*x1 + 0.1605699384928*x1/(-2*x1 + 11.339612580456928 - 19.17924814454305/x1) + 1)**2 + 0.5505947523564518))**3],log/.._dso_data_lj_hnc_greater_fourth_2022-04-06-162409
290,0.9531437208749922,0.0024166781413479,[0.23993524115644901/((x1 - 3.0896371118001102)*(-x1 + 9.8735712224802498*x1*(0.27577220953774335*x1 - 1)**4/(1 - 0.38663926270470953*x1)**4 + 5.151813305394554))],log/.._dso_data_lj_hnc_greater_fourth_2022-04-06-162319
808,0.9535331357963592,0.0023747349902555,[0.15487200683190336*(0.97538460971228961*sin((-22.6027950213736 + 1.777613393945952*(33.71382468400586*(-0.1722249185165744*x1 + 0.3274697408281342*lj(x1) - 1)**2 - 51.28442802352517)/x1)/x1) - 1)**2],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011430
877,0.9538086847268202,0.00234529842793,[1.8263430597207095*(1 - 0.31040896163423886*(-sin(1.95616984216925 + 2.457280382901744/(x1*(lj(x1) - 0.5469413129426293 + 1.1936662702903553/x1))) - 0.7564481012966999)**2)**2/x1],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011430
543,0.9538185661398432,0.0023442465330162,[tan(1.6505214119917864/(-0.0081685409959867942*x1**3 + 0.021255070143827564*(x1 + 0.2886389492772628*x1/(192.08114213246025*(0.072153538665494935*x1**2 - 1)**2 + 4.392743154867104))**3 + 1)**3)],log/.._dso_data_lj_hnc_greater_fourth_2022-04-24-011426
850,0.9548349978651958,0.0022374194663407,[0.018211348388617574*x1**3*cos(0.7191313322938422*lj(x1) - 0.90461684365577265 + 2.9496427163182639/x1)**54 + 0.00022837215346465853],log/.._dso_data_lj_hnc_greater_fourth_2022-04-28-142401
