,r,nmse_test,expression,directory
371,0.9783037479355386,0.0004918379106554,[66.4526803381931*(0.370730151895428*x1 - 1)**2 - (0.4705661964871619*x1 + 1.321436783047121)*(68.91145197771745*(0.232838460536207*x1 - 1)**4 - 0.10998771465459806)],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
438,0.9783037549853696,0.000491837583938,[(x1 + 1.2165223029116694)*(0.9320275381695179*x1**2 - 3.447337041705026*x1 - 22.02748011508993*(1 - 0.256280601291533*x1)**4 + 1.917285869024144)],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
125,0.9783093664692049,0.0004915775612614,[0.07929228779178398*x1*(x1 + 288.28019479271782*(0.2069955237369095*x1 + 0.18205284768335203)*(-0.95204425100167416*(1 - 0.2487240214255609*x1)**2 - 1)**2) - 12.906283088200608*x1 - 24.449844131471064],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164736
396,0.978319535350578,0.0004911065425126,[-x1*(-1.724028537703326*x1*(x1 + 9.9800439159451481*(0.060651188990650588*x1 - 1)**8 - 4.030165275725864) - 2.98605952415805) - 24.4508973684248],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
109,0.978341591675752,0.0004900857113764,[-40.843550767412692*(1 - 0.2837507861817619*x1)**3 + 32.628219688162911*(0.042108743792662792*x1**2 - 0.16388571049235946*x1 + 1)**6 - 16.220759614520876],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-17-000348
176,0.9783533445088776,0.000489542208462,[x1*(x1 + 0.21019135875776454)*(17.756276908321485*(-0.116157029672009*x1 - (0.08754070353503381*x1 - 1)**4)**2 - 4.873886311699343) - 24.430417317662094],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-030440
547,0.9783577921840724,0.0004893366103687,[-23.757541978169273*(0.0015083516640514601*x1**5 - 1)**2 - 7.713645730816553*cos(1.2498139285467504*x1 + 0.51986642627908959) + 5.8544030947134384],log/.._dso_data_lj_hnc_lesser_sigma_2022-06-17-164632
25,0.9783681583225406,0.0004888576004387,[-(x1**2 - 0.31790838338065097)*(-0.03731713964680552*x1 - 17.005992345593582*(0.12994775755468145*x1 - (0.098051931200585614*x1 - 1)**3)**3 + 4.7302312979043211) - 20.525115324261005],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-17-000348
222,0.9783891216888642,0.0004878896499544,[14.103144822393011 - 38.56150742230365*(0.1369818457854006*x1*(-0.69336788929184126*x1*(1 - 0.3306081074586373*x1)**2 - 0.21418679308878372*x1 - 0.29765890668680633) + 1)**2],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-27-165927
59,0.9783891267007424,0.0004878894186584,[14.144465704911951 - 38.602988421130062*(0.20094212353317206*x1*(x1 + 0.2852161495541776)*(-0.51760979770868883*(1 - 0.31569332713283438*x1)**2 - 0.1934056161838) + 1)**2],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-26-154153
104,0.978394635876917,0.0004876352072172,[x1 - 36.465670868039798*(0.01191104834648869*x1**2 + (0.09720150225544796*x1 - 1)**2 - 0.062021806034460883*(0.6619899477066809*x1 - 1)**4)**2 + 7.634758244768805],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
390,0.9783952522293792,0.0004876067709932,[-0.01055333378071512*x1**3*(423.6899111512326*(0.2204133875448248*x1 - 1)**4 - 60.84986347538902) + x1 + 12.9174517878388*(0.95930913292194642*(0.53855058021863707*x1 - 1)**2 - 1)**2 - 24.417043130040675],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
423,0.9783995576459718,0.0004874081591122,[x1 - 33.6749938352929*(-0.01189273874352212*(x1 + 0.10367495346840247)*(x1 + 0.10368513485244163)*(x1 + 13.226250402105971*(0.27496766753736234*x1 - 1)**2 + 0.001659840001093726) + 1)**2 + 9.103596984905112],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-27-165927
142,0.9783995583100988,0.0004874081284788,[x1 - 35.0669621405476*(-0.1279953548824595*x1 - 0.02185409497324215*(0.5060800667713324*x1 - (0.8546393567708948*x1 - 1)**2)**2 + 1)**2 + 9.093580733618815],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-26-154153
441,0.9784013441494868,0.0004873257588444,[x1**4 + x1*(-x1 - 0.19971189191536703)*(8.37307186886326*x1 + (x1 + 109.82288846834615)/(x1**2 + 8.987017835161735) - 25.453887260080577) - 24.434525222280413],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
461,0.9784051469814978,0.0004871503821124,[110.36327886597097*x1/(x1 + 144329.0823326336/(5574.10974881119*(0.4660706061654497*(0.4946230731148814*x1 - 1)**3 - 1)**3 + 17990.21667220869)) - 24.255385131819942],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-17-000348
272,0.9784072600041692,0.000487052949227,[x1**2*(-x1 - 1.8302240204232045) + 15.10778380744449*(-0.12408705585895843*x1**2 + 0.91109408407165863*(1 - 0.26485894730409386*x1)**4 - 1)**2 - 24.54242929555863],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
572,0.9784274351877628,0.0004861231699189,[6.068718876587525*(0.5335353868536115*x1 + 1)**2 - 30.53191036021269*(0.23725434650357155*x1*(x1 - 0.48085232337214614*(0.42945334045799061*x1 + 1)**2)**2 + 1)**2],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-27-165927
207,0.9784277261399916,0.0004861097680774,[35.112812638674946*(-1 + 0.98461764519229261/(0.37616012258822731*x1 + 1)**2)**2 + 0.00033656696537948399*(x1**4 + x1)**2 - 24.326741671235332],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
394,0.978433104014108,0.0004858620871403,[3.9356397935372534*x1 - 9.2526969048107129*(0.47633287333123641*(0.66119757015285426 - 0.19574229875469187*x1)*(0.1584721186166804*(x1 - 0.92365439024574339)**3 + 1.3400186497389772) + 1)**3],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-17-000348
93,0.9784334658665544,0.0004858454241917,[7.639884593664415*(0.14970138397551629*x1**2 - x1 - 0.3028325523675737)**2 + 3.73558778088814*sin(0.3581322863502601*x1**2 + 2.4862334062672482) - 27.56427072482463],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-27-165954
187,0.9784376613982192,0.0004856522458556,[-x1**3 + 21149.25768244186*(0.006876262313475607*x1**2 - (-0.89131327549425539 + (0.05744779565296688*x1 + 1)**(-2))**2 + 0.014067096231275602)**2 - 24.518619170754008],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-26-154153
408,0.9784426556131636,0.0004854223453209,[x1*(x1*(-x1 + 12.166443615531513*(0.34006292780855762*x1*(0.13310398942683291*x1 - 1)**2 - 1)**2) + 2.42217432718681) - 24.412934821080665],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-17-000348
372,0.9784464194511924,0.0004852491206968,[57945994.628394314*(-0.0071579015079640892*x1 - 1/(x1**4 + 68.09812298403038 - 72.04751525920493/(x1**4 + 2*x1 + 3.2918045399215514)))**4 - 37.1481868230895],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
287,0.9784466712617949,0.0004852375326675,[12.99326484862066*x1 + 2.6276030677139695*(1 - 0.78543465611170904*x1)**4 - 24.520541960243765 + 6410.102734135414/(x1 - 2491.673223506974*(1 - 0.1415393603907789*x1)**4 + 0.23268501060261468)],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-27-165927
160,0.9784490549692682,0.0004851278443883,[x1 + 1893.2235671609516*(0.0090591244974618359*x1**2 + x1*(-0.0079951030646080617*x1**2 + 1/(x1 + 3.2336689155424594))**2)**2 - 24.30824288989122],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-27-165927
509,0.9784521392816826,0.0004849859363847,[-56.238508355746451*(0.38670318971293747*x1 - 1)**2 - 146.95616575394976 - 110.16206327192399*(-x1**4 - 461.35818491890626)/(x1 + 504.3052252023458) + 147.8048939083308/(x1 + 1.8943404164428244)],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
44,0.9784539779198668,0.0004849013516648,[8.744042269174146 - 43.1444174827322*(0.104187653077965*x1 + 0.104187653077965*(x1 - 1.0970474560073472*(0.10283815125311964*x1 + 1)**4)*(-x1**2 - 1.0733709391506454) - 1)**2],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
145,0.9784540216547718,0.0004848993397777,[19.912975275094598*(0.47338660113279084*x1 - 1)**4 + 281.6647144404162*((0.2440994995130449*x1 - 1)**2*(-0.03132562149900452*x1 + 0.03132562149900452*(x1 - 0.6255142196221491)**2 + 0.14121199974987454) - 0.64385889850896095)**2 - 112.0647025356656],log/.._dso_data_lj_hnc_lesser_sigma_2022-03-20-000407
